lgacode,lganame,statecode,source,statename,capitalcity,geozone,longitude,latitude
808,Kaura Namoda,ZA,EHA-SAMUEL,Zamfara,Gusau,North West,6.647947881,12.65907742
23004,Bassa,KO,WHO,Kogi,Lokoja,North Central,7.445786953,8.04486084
33020,Opobo/Nkoro,RI,WHO,Rivers,Port Harcourt,South South,7.473252565,4.557516137
813,Tsafe,ZA,EHA-OLUSEYE,Zamfara,Gusau,North West,6.906260242,12.09082123
33023,Tai,RI,WHO,Rivers,Port Harcourt,South South,7.321207047,4.783119202
33008,Degema,RI,EHA-OLUSEYE,Rivers,Port Harcourt,South South,6.795415878,4.782156944
14007,Igbo-Etiti,EN,WHO,Enugu,Enugu,South East,7.543806553,6.631067276
27018,Munya,NI,NGA_TEAMGIS,Niger,Minna,North Central,7.008491547,10.04480499
23011,Kogi,KO,EHA-OLUSEYE,Kogi,Lokoja,North Central,6.951177597,8.346272469
23005,Dekina,KO,WHO,Kogi,Lokoja,North Central,7.483005047,7.507169247
413,Faskari,KT,EHA-OLUSEYE,Katsina,Katsina,North West,7.2744167,11.90094354
33022,Port-Harcourt,RI,WHO,Rivers,Port Harcourt,South South,7.076556206,4.813961983
11009,Ivo,EB,WHO,Ebonyi,Abakaliki,South East,7.707358748,5.933398698
15003,Gwagwalada,FC,EHA-OLUSEYE,"Fct, Abuja",Abuja,North Central,7.030075073,9.257713318
14002,Awgu,EN,WHO,Enugu,Enugu,South East,7.512400627,6.231348038
33018,Okrika,RI,WHO,Rivers,Port Harcourt,South South,7.175617218,4.735705853
407,Dandume,KT,EHA-SAMUEL,Katsina,Katsina,North West,7.147261532,11.57883127
403,Batsari,KT,EHA-SAMUEL,Katsina,Katsina,North West,7.270897928,13.00735888
416,Jibia,KT,EHA-SAMUEL,Katsina,Katsina,North West,7.598998728,13.10538496
33021,Oyigbo,RI,WHO,Rivers,Port Harcourt,South South,7.326064587,4.876126766
14011,Nkanu East,EN,WHO,Enugu,Enugu,South East,7.725004673,6.242600918
419,Kankara,KT,EHA-MICHAEL,Katsina,Katsina,North West,7.302458288,12.15258538
33019,Omumma,RI,WHO,Rivers,Port Harcourt,South South,7.271354198,5.103509903
14003,Enugu East,EN,WHO,Enugu,Enugu,South East,7.653496742,6.601598263
19016,Kudan,KD,eHA-Tosin,Kaduna,Kaduna,North West,7.767570827,11.37915283
412,Dutsin Ma,KT,EHA-OLUSEYE,Katsina,Katsina,North West,7.634489888,12.54880292
3011,Ika,AK,WHO,Akwa Ibom,Uyo,South South,7.617847919,5.046498775
